Scientific_name,RefSeq ID
Sinorhizobium meliloti ,GCF_037023865.1
Stenotrophomonas maltophilia ,GCF_020641395.2
Streptococcus mitis ,GCF_001281025.1
Streptococcus parasuis ,GCF_021654455.1
Streptococcus pneumoniae ,GCF_001457635.1
Staphylococcus pseudintermedius ,GCF_034042775.1
Streptococcus pyogenes (GAS) ,GCF_900475035.1
Streptococcus suis ,GCF_000026745.1
Staphylococcus lugdunensis ,GCF_001558775.1
Streptococcus thermophilus ,GCF_903886475.1
Streptomyces spp. ,GCF_052936015.1
Streptococcus thermophilus ,GCF_903886475.1
Streptococcus uberis ,GCF_900475595.1
Streptococcus equi subsp. zooepidemicus ,GCF_015689395.1
Taylorella equigenitalis ,GCF_900637125.1
Tenacibaculum maritimum ,GCF_900119795.1
Treponema pallidum ,GCF_000410535.2
Trueperella pyogenes ,GCF_001281085.1
Trichomonas vaginalis ,GCF_026262505.1
Ureaplasma urealyticum ,GCF_000169535.1
Vibrio cholerae ,GCF_008369605.1
Vibrio cholerae (Scheme 2) ,GCF_008369605.1
Vibrio spp. ,GCF_055391395.1
Vibrio parahaemolyticus ,GCF_000196095.1
Vibrio tapetis ,GCF_030409945.1
Vibrio vulnificus ,GCF_002224265.1
Wolbachia spp. ,GCF_977011065.1
Xylella fastidiosa ,GCF_028891345.1
Yersinia enterocolitica ,GCF_000253175.1
Yersinia pseudotuberculosis ,GCF_900637475.1
Yersinia ruckeri ,GCF_017498685.1
